firstName	lastName	shirtNo	birthDate	position	teamID
Sil	Swinkels	50	2004/1/6	Defender	2
Kortney	Hause	30	1995/7/16	Defender	2
Pau	Torres	14	1997/1/16	Defender	2
Josh	Feeney	59	2005/5/6	Defender	2
Clément	Lenglet	17	1995/6/17	Defender	2
Douglas	Luiz	6	1998/5/9	Midfielder	2
John	McGinn	7	1994/10/18	Midfielder	2
Emiliano	Buendía	10	1996/12/25	Midfielder	2
Leander	Dendoncker	32	1995/4/15	Midfielder	2
Jacob	Ramsey	41	2001/5/28	Midfielder	2
Boubacar	Kamara	44	1999/11/23	Midfielder	2
Tommi	O'Reilly	58	2003/12/15	Midfielder	2
Travis	Patterson	66	2005/10/6	Midfielder	2
Bertrand	Traoré	9	1995/9/6	Midfielder	2
Leon	Bailey	31	1997/8/9	Midfielder	2
Youri	Tielemans	8	1997/5/7	Midfielder	2
Morgan	Sanson	8	1994/8/18	Midfielder	2
Tim	Iroegbunam	47	2003/6/30	Midfielder	2
Omari	Kellyman	71	2005/9/25	Midfielder	2
Nicolò	Zaniolo	22	1999/7/2	Midfielder	2
Kadan	Young	72	2006/1/19	Forward	2
Ollie	Watkins	11	1995/12/30	Forward	2
Jhon	Durán	24	2003/12/13	Forward	2
Moussa	Diaby	19	1999/7/7	Forward	2
Darren	Randolph	12	1987/5/12	Goalkeeper	53
	Neto	1	1989/7/19	Goalkeeper	53
Cameron	Plain	45	2001/9/24	Goalkeeper	53
Andrei	Radu	20	1997/5/28	Goalkeeper	53
Mark	Travers	42	1999/5/18	Goalkeeper	53
Ryan	Fredericks	2	1992/10/10	Defender	53
Lloyd	Kelly	5	1998/10/6	Defender	53
Chris	Mepham	6	1997/11/5	Defender	53
Adam	Smith	15	1991/4/29	Defender	53
Marcos	Senesi	25	1997/5/10	Defender	53
Illia	Zabarnyi	27	2002/9/1	Defender	53
Ben	Greenwood	43	2003/2/20	Defender	53
Milos	Kerkez	3	2003/11/7	Defender	53
Max	Aarons	37	2000/1/4	Defender	53
Lewis	Cook	4	1997/2/3	Midfielder	53
David	Brooks	7	1997/7/8	Midfielder	53
Ryan	Christie	10	1995/2/22	Midfielder	53
Joe	Rothwell	8	1995/1/11	Midfielder	53
Marcus	Tavernier	16	1999/3/22	Midfielder	53
Philip	Billing	29	1996/6/11	Midfielder	53
Hamed	Traorè	22	2000/2/16	Midfielder	53
Emiliano	Marcondes	13	1995/3/9	Midfielder	53
Gavin	Kilkenny	26	2000/2/1	Midfielder	53
Alex	Scott	14	2003/8/21	Midfielder	53
Tyler	Adams	18	1999/2/14	Midfielder	53
Dominic	Solanke	9	1997/9/14	Forward	53
Dango	Ouattara	11	2002/2/11	Forward	53
Kieffer	Moore	21	1992/8/8	Forward	53
Antoine	Semenyo	24	2000/1/7	Forward	53
Justin	Kluivert	19	1999/5/5	Forward	53
Luis	Sinisterra	17	1999/6/17	Forward	53
Thomas	Strakosha	21	1995/3/19	Goalkeeper	50
Mark	Flekken	1	1993/6/13	Goalkeeper	50
Ellery	Balcombe	40	1999/10/15	Goalkeeper	50
Aaron	Hickey	2	2002/6/10	Defender	50
Rico	Henry	3	1997/7/8	Defender	50
Ethan	Pinnock	5	1993/5/29	Defender	50
	Zanka	13	1990/4/23	Defender	50
Ben	Mee	16	1989/9/21	Defender	50
Pontus	Jansson	18	1991/2/13	Defender	50
Kristoffer	Ajer	20	1998/4/17	Defender	50
Mads	Roerslev	30	1999/6/24	Defender	50
Charlie	Goode	4	1995/8/3	Defender	50
Nathan	Collins	22	2001/4/30	Defender	50
Kim	Ji-Soo	36	2004/12/24	Defender	50
Valintino	Adedokun	42	2003/2/14	Defender	50
Christian	Nørgaard	6	1994/3/10	Midfielder	50
Mathias	Jensen	8	1996/1/1	Midfielder	50
Kevin	Schade	9	2001/11/27	Midfielder	50
Josh	Dasilva	10	1998/10/23	Midfielder	50
Yoane	Wissa	11	1996/9/3	Midfielder	50
Frank	Onyeka	15	1998/1/1	Midfielder	50
Bryan	Mbeumo	19	1999/8/7	Midfielder	50
Mikkel	Damsgaard	24	2000/7/3	Midfielder	50
Shandon	Baptiste	26	1998/4/8	Midfielder	50
Vitaly	Janelt	27	1998/5/10	Midfielder	50
Yehor	Yarmoliuk	33	2004/3/1	Midfielder	50
Kevin	Schade	9	2001/11/27	Midfielder	50
Myles	Peart-Harris	25	2002/9/18	Midfielder	50
Ethan	Brierley	38	2003/11/23	Midfielder	50
Ivan	Toney	17	1996/3/16	Forward	50
Keane	Lewis-Potter	23	2001/2/22	Forward	50
Michael	Olakigbe	37	2004/4/25	Forward	50
Nathan	Young-Coombes	43	2003/1/15	Forward	50
Joel	Valencia		1994/11/16	Forward	50
Saman	Ghoddos	14	1993/9/6	Forward	50
Neal	Maupay	7	1996/8/14	Forward	50
Jason	Steele	23	1990/8/18	Goalkeeper	48
Tom	McGill	38	2000/3/25	Goalkeeper	48
Bart	Verbruggen	1	2002/8/18	Goalkeeper	48
Tariq	Lamptey	2	2000/9/30	Defender	48
Adam	Webster	4	1995/1/4	Defender	48
Lewis	Dunk	5	1991/11/21	Defender	48
Jan	Paul van Hecke	29	2000/6/8	Defender	48
Pervis	Estupiñán	30	1998/1/21	Defender	48
Joël	Veltman	34	1992/1/15	Defender	48
Igor	Julio	3	1998/2/7	Defender	48
Solly	March	7	1994/7/20	Midfielder	48
Pascal	Groß	13	1991/6/15	Midfielder	48
Adam	Lallana	14		Midfielder	48
Jakub	Moder	15	1999/4/7	Midfielder	48
Kaoru	Mitoma	22	1997/5/20	Midfielder	48
Billy	Gilmour	11	2001/6/11	Midfielder	48
Facundo	Buonanotte	40		Midfielder	48
Jack	Hinshelwood	41	2005/4/11	Midfielder	48
James	Milner	6	1986/1/4	Midfielder	48
Mahmoud	Dahoud	8	1996/1/1	Midfielder	48
Kacper	Kozlowski	27	2003/10/16	Midfielder	48
Carlos	Baleba	20	2004/1/3	Midfielder	48
Danny	Welbeck	18	1990/11/26	Forward	48
Julio	Enciso	10	2004/1/23	Forward	48
Evan	Ferguson	28	2004/10/19	Forward	48
João	Pedro	9	2001/9/26	Forward	48
Simon	Adingra	24	2002/1/1	Forward	48
Benicio	Baker-Boaitey	47	2004/1/9	Forward	48
Ansu	Fati	31	2002/10/31	Forward	48
Joshua	Duffus	56	2004/12/15	Forward	48
Mark	O’Mahony	55		Forward	48
Denis	Franchi	1	2002/10/22	Goalkeeper	43
Arijanet	Muric	49		Goalkeeper	43
Lawrence	Vigouroux	29	1993/11/19	Goalkeeper	43
James	Trafford	1	2002/10/10	Goalkeeper	43
Charlie	Taylor	3	1993/9/18	Defender	43
CJ	Egan-Riley	6	2003/1/2	Defender	43
Connor	Roberts	14	1995/9/23	Defender	43
Hjalmar	Ekdal	18	1998/10/21	Defender	43
	Vitinho	22	1999/7/23	Defender	43
Ameen	Al Dakhil	28	2002/3/6	Defender	43
Jordan	Beyer	5	2000/5/19	Defender	43
Dara	O'Shea	2	1999/3/4	Defender	43
Hannes	Delcroix	44	1999/2/28	Defender	43
Jack	Cork	4	1989/6/25	Midfielder	43
Jóhann	Gudmundsson	7	1990/10/27	Midfielder	43
Josh	Brownhill	8	1995/12/19	Midfielder	43
Josh	Cullen	24	1996/4/7	Midfielder	43
Nathan	Redmond	15	1994/3/6	Midfielder	43
Sander	Berge	16	1998/2/14	Midfielder	43
Aaron	Ramsey	21	2003/1/21	Midfielder	43
Han-Noah	Massengo	42	2001/7/7	Midfielder	43
Jay	Rodríguez	9	1989/7/29	Forward	43
Lyle	Foster	17	2000/9/3	Forward	43
Benson	Manuel	10	1997/3/28	Forward	43
Anass	Zaroury	19	2000/11/7	Forward	43
Darko	Churlinov	27	2000/7/11	Forward	43
Enock	Agyei	48	2005/1/13	Forward	43
Zeki	Amdouni	25	2000/12/4	Forward	43
Luca	Koleosho	30	2004/9/15	Forward	43
Jacob	Bruun Larsen	34	1998/9/19	Forward	43
Michael	Obafemi	45	2000/7/6	Forward	43
Wilson	Odobert	47	2004/11/28	Forward	43
Mike	Trésor	31	1999/5/28	Forward	43
Marcus	Bettinelli	13	1992/5/24	Goalkeeper	11
Édouard	Mendy	16	1992/3/1	Goalkeeper	11
Lucas	Bergström	47	2002/9/5	Goalkeeper	11
Ethan	Wady	80	2002/1/23	Goalkeeper	11
Eddie	Beach	50	2003/10/9	Goalkeeper	11
Robert	Sánchez	1	1997/11/18	Goalkeeper	11
Djordje	Petrovic	28		Goalkeeper	11
Benoît	Badiashile	5	2001/3/26	Defender	11
Thiago	Silva	6	1984/9/22	Defender	11
Trevoh	Chalobah	14	1999/7/5	Defender	11
Ben	Chilwell	21	1996/12/21	Defender	11
Reece	James	24	1999/12/8	Defender	11
Kalidou	Koulibaly	26	1991/6/20	Defender	11
Marc	Cucurella	3	1998/7/22	Defender	11
Wesley	Fofana	33	2000/12/17	Defender	11
Alfie	Gilchrist	42	2003/11/28	Defender	11
Levi	Colwill	26	2003/2/26	Defender	11
Malo	Gusto	27	2003/5/19	Defender	11
Malang	Sarr	31	1999/1/23	Defender	11
Ian	Maatsen	29	2002/3/10	Defender	11
Axel	Disasi	2	1998/3/11	Defender	11
Ishé	Samuels-Smith	53	2006/6/5	Defender	11
Josh	Brooking	44	2002/9/1	Defender	11
Enzo	Fernández	8	2001/1/17	Midfielder	11
Mykhailo	Mudryk	10	2001/1/5	Midfielder	11
Conor	Gallagher	23	2000/2/6	Midfielder	11
Carney	Chukwuemeka	17	2003/10/20	Midfielder	11
Lesley	Ugochukwu	16	2004/3/26	Midfielder	11
Moisés	Caicedo	25		Midfielder	11
Roméo	Lavia	45	2004/1/6	Midfielder	11
Cole	Palmer	20	2002/5/6	Midfielder	11
Leo	Castledine	54	2005/8/20	Midfielder	11
João	Félix	11	1999/11/10	Forward	11
Raheem	Sterling	7	1994/12/8	Forward	11
Armando	Broja	19	2001/9/10	Forward	11
Noni	Madueke	11	2002/3/10	Forward	11
Christopher	Nkunku	18	1997/11/14	Forward	11
Nicolas	Jackson	15	2001/6/20	Forward	11
Deivid	Washington	36	2005/6/5	Forward	11
Ronnie	Stutter	62	2005/1/6	Forward	11
Alex	Matos	52		Forward	11
Sam	Johnstone	1	1993/3/25	Goalkeeper	20
Joe	Whitworth	41	2004/2/29	Goalkeeper	20
Remi	Matthews	31	1994/2/10	Goalkeeper	20
Dean	Henderson	30	1997/3/12	Goalkeeper	20
Joel	Ward	2		Defender	20
Tyrick	Mitchell	3	1999/9/1	Defender	20
James	Tomkins	5	1989/3/29	Defender	20
Marc	Guéhi	6	2000/7/13	Defender	20
Joachim	Andersen	16	1996/5/31	Defender	20
Nathaniel	Clyne	17	1991/4/5	Defender	20
Chris	Richards	26	2000/3/28	Defender	20
Nathan	Ferguson	36		Defender	20
Seán	Grehan	42	2004/1/8	Defender	20
Rob	Holding	4	1995/9/20	Defender	20
Luka	Milivojevic	4		Midfielder	20
Michael	Olise	7	2001/12/12	Midfielder	20
Eberechi	Eze	10	1998/6/29	Midfielder	20
Jeffrey	Schlupp	15	1992/12/23	Midfielder	20
Will	Hughes	19	1995/4/17	Midfielder	20
Cheick	Doucouré	28	2000/1/8	Midfielder	20
Naouirou	Ahamada	29		Midfielder	20
Jairo	Riedewald	44	1996/9/9	Midfielder	20
Jefferson	Lerma	8	1994/10/25	Midfielder	20
Jesurun	Rak-Sakyi	49		Midfielder	20
Jack	Wells-Morrison	40		Midfielder	20
David	Ozoh	77		Midfielder	20
Jadan	Raymond	60	2003/10/15	Midfielder	20
Jordan	Ayew	9		Forward	20
Jean-Philippe	Mateta	14		Forward	20
Odsonne	Édouard	22	1998/1/16	Forward	20
Adler	Nascimento	76		Forward	20
Malcolm	Ebiowei	23	2003/9/4	Forward	20
Matheus	França	11	2004/4/1	Forward	20
Jordan	Pickford	1	1994/3/7	Goalkeeper	13
Asmir	Begovic	15	1987/6/20	Goalkeeper	13
Andy	Lonergan	31	1983/10/19	Goalkeeper	13
Billy	Crellin	43	2000/6/30	Goalkeeper	13
João	Virgínia	12	1999/10/10	Goalkeeper	13
James	Tarkowski	6	1992/11/19	Defender	13
Nathan	Patterson	2	2001/10/16	Defender	13
Michael	Keane	5	1993/1/11	Defender	13
Vitalii	Mykolenko	19	1999/5/29	Defender	13
Ben	Godfrey	22	1998/1/15	Defender	13
Séamus	Coleman	23	1988/10/11	Defender	13
Conor	Coady	30	1993/2/25	Defender	13
Jarrad	Branthwaite	32	2002/6/27	Defender	13
Ashley	Young	18	1985/7/9	Defender	13
Amadou	Onana	8	2001/8/16	Midfielder	13
Abdoulaye	Doucouré	16	1993/1/1	Midfielder	13
Idrissa	Gueye	27	1989/9/26	Midfielder	13
James	Garner	37	2001/3/13	Midfielder	13
Sean	McAllister	46	2002/9/15	Midfielder	13
Stanley	Mills	56	2003/10/25	Midfielder	13
Dele	Alli	20	1996/4/11	Midfielder	13
André	Gomes	21	1993/7/30	Midfielder	13
Tyler	Onyango	62	2003/3/4	Midfielder	13
Jack	Harrison	11	1996/11/20	Midfielder	13
Mackenzie	Hunt	58	2001/11/14	Midfielder	13
Dwight	McNeil	7	1999/11/22	Forward	13
Dominic	Calvert-Lewin	9	1997/3/16	Forward	13
Lewis	Dobbin	61	2003/1/3	Forward	13
Arnaut	Danjuma	10	1997/1/31	Forward	13
Youssef	Chermiti	28	2004/5/24	Forward	13
	Beto	14	1998/1/31	Forward	13
Marek	Rodák	1	1996/12/13	Goalkeeper	34
Bernd	Leno	17	1992/3/4	Goalkeeper	34
George	Wickens	40	2001/11/8	Goalkeeper	34
Steven	Benda	23	1998/10/1	Goalkeeper	34
Kenny	Tete	2	1995/10/9	Defender	34
Tosin	Adarabioyo	4	1997/9/24	Defender	34
Tim	Ream	13	1987/10/5	Defender	34
Issa	Diop	31	1997/1/9	Defender	34
Antonee	Robinson	33	1997/8/8	Defender	34
Luc	De Fougerolles	44	2005/10/12	Defender	34
Calvin	Bassey	3	1999/12/31	Defender	34
Timothy	Castagne	21	1995/12/5	Defender	34
Fodé	Ballo-Touré	12	1997/1/3	Defender	34
Devan	Tanton	41	2004/1/3	Defender	34
Harrison	Reed	6	1995/1/27	Midfielder	34
Harry	Wilson	8	1997/3/22	Midfielder	34
Tom	Cairney	10	1991/1/20	Midfielder	34
Andreas	Pereira	18	1996/1/1	Midfielder	34
João	Palhinha	26	1995/7/9	Midfielder	34
Sasa	Lukic	28	1996/8/13	Midfielder	34
Tyrese	Francois	35	2000/7/16	Midfielder	34
Luke	Harris	38	2005/3/4	Midfielder	34
Matthew	Dibley-Dias	49	2003/10/29	Midfielder	34
Bobby	De Cordova-Reid	14	1993/2/2	Forward	34
	Willian	20	1988/8/9	Forward	34
Carlos	Vinícius	30	1995/3/25	Forward	34
Rodrigo	Muniz	19	2001/5/4	Forward	34
Raúl	Jiménez	7	1991/5/5	Forward	34
Adama	Traoré	11	1996/1/25	Forward	34
Alex	Iwobi	22	1996/5/3	Forward	34
Alisson	Becker	1	1992/10/2	Goalkeeper	6
	Adrián	13	1987/1/3	Goalkeeper	6
Caoimhín	Kelleher	62	1998/11/23	Goalkeeper	6
Fabian	Mrozek	93	2003/9/28	Goalkeeper	6
Marcelo	Pitaluga	45	2002/12/20	Goalkeeper	6
Vítezslav	Jaros	56	2001/7/23	Goalkeeper	6
Joe	Gomez	2	1997/5/23	Defender	6
Virgil	van Dijk	4	1991/7/8	Defender	6
Ibrahima	Konaté	5	1999/5/25	Defender	6
Kostas	Tsimikas	21	1996/5/12	Defender	6
Calvin	Ramsay	22	2003/7/31	Defender	6
Andy	Robertson	26	1994/3/11	Defender	6
Joël	Matip	32	1991/8/8	Defender	6
Rhys	Williams	46	2001/2/3	Defender	6
Trent	Alexander-Arnold	66	1998/10/7	Defender	6
Luke	Chambers	44	2004/6/24	Defender	6
Jarell	Quansah	78	2003/1/29	Defender	6
Conor	Bradley	84	2003/7/9	Defender	6
Stefan	Bajcetic	43	2004/10/22	Midfielder	6
Thiago	Alcântara	6	1991/4/11	Midfielder	6
Naby	Keïta	8	1995/2/10	Midfielder	6
Alex	Oxlade-Chamberlain	15	1993/8/15	Midfielder	6
Curtis	Jones	17	2001/1/30	Midfielder	6
Harvey	Elliott	19	2003/4/4	Midfielder	6
Fábio	Carvalho	28	2002/8/30	Midfielder	6
	Arthur	29	1996/8/12	Midfielder	6
Bobby	Clark	42	2005/2/7	Midfielder	6
Alexis	Mac Allister	10	1998/12/24	Midfielder	6
Dominik	Szoboszlai	8	2000/10/25	Midfielder	6
Wataru	Endo	3	1993/2/9	Midfielder	6
Ryan	Gravenberch	38	2002/5/16	Midfielder	6
Treymaurice	Nyoni	98	2007/6/30	Midfielder	6
Mohamed	Salah	11	1992/6/15	Forward	6
Cody	Gakpo	18	1999/5/7	Forward	6
Diogo	Jota	20	1996/12/4	Forward	6
Luis	Díaz	7	1997/1/13	Forward	6
Darwin	Núñez	9	1999/6/24	Forward	6
Ben	Doak	50	2005/11/11	Forward	6
Kaide	Gordon	49	2004/10/5	Forward	6
James	Shea	1	1991/6/16	Goalkeeper	51
Thomas	Kaminski	24	1992/10/23	Goalkeeper	51
Tim	Krul	23	1988/4/3	Goalkeeper	51
Dan	Potts	3	1994/4/13	Defender	51
Tom	Lockyer	4	1994/12/3	Defender	51
Reece	Burke	16	1996/9/2	Defender	51
Amari'i	Bell	29	1994/5/5	Defender	51
Gabriel	Osho	2	1998/8/14	Defender	51
Joe	Johnson	38	2006/2/21	Defender	51
Mads	Andersen	5	1997/12/27	Defender	51
Issa	Kaboré	12	2001/5/12	Defender	51
Teden	Mengi	15	2002/4/30	Defender	51
Luke	Berry	8	1992/7/12	Midfielder	51
Pelly	Ruddock Mpanzu	17	1994/3/22	Midfielder	51
Jordan	Clark	18	1993/9/22	Midfielder	51
Zack	Nelson	43	2005/4/21	Midfielder	51
Alfie	Doughty	45	1999/12/21	Midfielder	51
Jayden	Luker	47	2005/4/30	Midfielder	51
Tahith	Chong	14	1999/12/4	Midfielder	51
Marvelous	Nakamba	13	1994/1/19	Midfielder	51
Ryan	Giles	26	2000/1/26	Midfielder	51
Ross	Barkley	6	1993/12/5	Midfielder	51
Albert	Sambi Lokonga	28	1999/10/22	Midfielder	51
Jake	Burger	46	2004/10/6	Midfielder	51
Andros	Townsend	30	1991/7/16	Midfielder	51
Carlton	Morris	9	1995/12/16	Forward	51
Cauley	Woodrow	10	1994/12/2	Forward	51
Elijah	Adebayo	11	1998/1/7	Forward	51
Chiedozie	Ogbene	7	1997/5/1	Forward	51
Jacob	Brown	19	1998/4/10	Forward	51
Stefan	Ortega	18	1992/11/6	Goalkeeper	9
	Ederson	31	1993/8/17	Goalkeeper	9
Scott	Carson	33	1985/9/3	Goalkeeper	9
Zack	Steffen	13	1995/4/2	Goalkeeper	9
Kyle	Walker	2	1990/5/28	Defender	9
Rúben	Dias	3	1997/5/14	Defender	9
John	Stones	5	1994/5/28	Defender	9
Nathan	Aké	6	1995/2/18	Defender	9
Manuel	Akanji	25	1995/7/19	Defender	9
Rico	Lewis	82	2004/11/21	Defender	9
Josko	Gvardiol	24	2002/1/23	Defender	9
Kalvin	Phillips	4	1995/12/2	Midfielder	9
Jack	Grealish	10	1995/9/10	Midfielder	9
	Rodri	16	1996/6/22	Midfielder	9
Kevin	De Bruyne	17	1991/6/28	Midfielder	9
Bernardo	Silva	20	1994/8/10	Midfielder	9
Sergio	Gómez	21	2000/9/4	Midfielder	9
Phil	Foden	47	2000/5/28	Midfielder	9
Alex	Robertson	93	2003/4/17	Midfielder	9
Mateo	Kovacic	8	1994/5/6	Midfielder	9
Oscar	Bobb	52	2003/7/12	Midfielder	9
Matheus	Nunes	27	1998/8/27	Midfielder	9
Micah	Hamilton	92	2003/11/13	Midfielder	9
Erling	Haaland	9	2000/7/21	Forward	9
Julián	Álvarez	19	2000/1/31	Forward	9
Jérémy	Doku	11	2002/5/27	Forward	9
Tom	Heaton	22	1986/4/15	Goalkeeper	52
Radek	Vítek	40	2003/10/24	Goalkeeper	52
André	Onana	24	1996/4/2	Goalkeeper	52
Altay	Bayindir	1	1998/4/14	Goalkeeper	52
Victor	Lindelöf	2	1994/7/17	Defender	52
Harry	Maguire	5	1993/3/5	Defender	52
Lisandro	Martínez	6	1998/1/18	Defender	52
Tyrell	Malacia	12	1999/8/17	Defender	52
Raphaël	Varane	19	1993/4/25	Defender	52
Diogo	Dalot	20	1999/3/18	Defender	52
Luke	Shaw	23	1995/7/12	Defender	52
Aaron	Wan-Bissaka	29	1997/11/26	Defender	52
Jonny	Evans	35	1988/1/3	Defender	52
Sergio	Reguilón	15	1996/12/16	Defender	52
Bruno	Fernandes	8	1994/9/8	Midfielder	52
Christian	Eriksen	14	1992/2/14	Midfielder	52
	Casemiro	18	1992/2/23	Midfielder	52
Facundo	Pellistri	28	2001/12/20	Midfielder	52
Donny	van de Beek	34	1997/4/18	Midfielder	52
Scott	McTominay	39	1996/12/8	Midfielder	52
Zidane	Iqbal	55	2003/4/27	Midfielder	52
Kobbie	Mainoo	37	2005/4/19	Midfielder	52
Hannibal	Mejbri	46	2003/1/21	Midfielder	52
Mason	Mount	7	1999/1/10	Midfielder	52
Omari	Forson	62	2004/7/20	Midfielder	52
Daniel	Gore	44	2004/9/26	Midfielder	52
Sofyan	Amrabat	4	1996/8/21	Midfielder	52
Anthony	Martial	9	1995/12/5	Forward	52
Marcus	Rashford	10	1997/10/31	Forward	52
	Antony	21	2000/2/24	Forward	52
Jadon	Sancho	25	2000/3/25	Forward	52
Alejandro	Garnacho	17	2004/7/1	Forward	52
Amad	Diallo	16	2002/7/11	Forward	52
Shola	Shoretire	47	2004/2/2	Forward	52
Rasmus	Højlund	11	2003/2/4	Forward	52
Martin	Dúbravka	1	1989/1/15	Goalkeeper	55
Loris	Karius	18	1993/6/22	Goalkeeper	55
Nick	Pope	22	1992/4/19	Goalkeeper	55
Mark	Gillespie	29	1992/3/27	Goalkeeper	55
Kieran	Trippier	2	1990/9/19	Defender	55
Paul	Dummett	3	1991/9/26	Defender	55
Sven	Botman	4	2000/1/12	Defender	55
Fabian	Schär	5	1991/12/20	Defender	55
Jamaal	Lascelles	6	1993/11/11	Defender	55
Matt	Targett	13	1995/9/18	Defender	55
Emil	Krafth	17	1994/8/2	Defender	55
Javier	Manquillo	19	1994/5/5	Defender	55
Dan	Burn	33	1992/5/9	Defender	55
Alex	Murphy	54	2004/6/25	Defender	55
Tino	Livramento	21	2002/11/12	Defender	55
Lewis	Hall	20	2004/9/8	Defender	55
Matt	Ritchie	11	1989/9/10	Midfielder	55
Jacob	Murphy	23	1995/2/24	Midfielder	55
Miguel	Almirón	24	1994/2/10	Midfielder	55
Joe	Willock	28	1999/8/20	Midfielder	55
Sean	Longstaff	36	1997/10/30	Midfielder	55
Bruno	Guimarães	39	1997/11/16	Midfielder	55
Sandro	Tonali	8	2000/5/8	Midfielder	55
Harvey	Barnes	15	1997/12/9	Midfielder	55
Lucas	De Bolle	34	2002/10/22	Midfielder	55
Elliot	Anderson	32	2002/11/6	Midfielder	55
Lewis	Miley	67	2006/5/1	Midfielder	55
	Joelinton	7	1996/8/14	Forward	55
Anthony	Gordon	10	2001/2/24	Forward	55
Callum	Wilson	9	1992/2/27	Forward	55
Alexander	Isak	14	1999/9/21	Forward	55
Ben	Parkinson	63	2005/3/10	Forward	55
Amadou	Diallo	49	2003/2/15	Forward	55
Wayne	Hennessey	13	1987/1/24	Goalkeeper	22
Ethan	Horvath	34	1995/6/9	Goalkeeper	22
George	Shelvey	38	2001/4/22	Goalkeeper	22
Matt	Turner	1	1994/6/24	Goalkeeper	22
Odysseas	Vlachodimos	23	1994/4/26	Goalkeeper	22
Joe	Worrall	4	1997/1/10	Defender	22
Neco	Williams	7	2001/4/13	Defender	22
Harry	Toffolo	15	1995/8/19	Defender	22
Moussa	Niakhaté	19	1996/3/8	Defender	22
Sèrge	Aurier	24	1992/12/24	Defender	22
Scott	McKenna	26	1996/11/12	Defender	22
Willy-Arnaud	Boly	30	1991/2/3	Defender	22
	Felipe	18	1989/5/16	Defender	22
Ola	Aina	43	1996/10/8	Defender	22
Gonzalo	Montiel	29	1997/1/1	Defender	22
	Murillo	40	2002/7/4	Defender	22
Nuno	Tavares	3	2000/1/26	Defender	22
Andrew	Omobamidele	32	2002/6/23	Defender	22
Orel	Mangala	5	1998/3/18	Midfielder	22
Morgan	Gibbs-White	10	2000/1/27	Midfielder	22
Cheikhou	Kouyaté	8	1989/12/21	Midfielder	22
Ryan	Yates	22	1997/11/21	Midfielder	22
	Danilo	28	2001/4/29	Midfielder	22
Andrey	Santos	12	2004/5/3	Midfielder	22
Brandon	Aguilera	41	2003/6/28	Midfielder	22
Ibrahim	Sangaré	6	1997/12/2	Midfielder	22
Nicolás	Domínguez	16	1998/6/28	Midfielder	22
Taiwo	Awoniyi	9	1997/8/12	Forward	22
Chris	Wood	11	1991/12/7	Forward	22
Anthony	Elanga	21	2002/4/27	Forward	22
Divock	Origi	27	1995/4/18	Forward	22
Callum	Hudson-Odoi	14	2000/11/7	Forward	22
Adam	Davies	1	1992/7/17	Goalkeeper	14
Wes	Foderingham	18	1991/1/14	Goalkeeper	14
Jordan	Amissah	37	2001/8/2	Goalkeeper	14
George	Baldock	2	1993/3/9	Defender	14
Chris	Basham	6	1988/7/20	Defender	14
John	Egan	12	1992/10/20	Defender	14
Max	Lowe	3	1997/5/11	Defender	14
Anel	Ahmedhodzic	15	1999/3/26	Defender	14
Jack	Robinson	19	1993/9/1	Defender	14
Jayden	Bogle	20	2000/7/27	Defender	14
